date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;20;corroded;1;3;37,7;37,7;M3;
22/08/2023;20;corroded;1;4;38,3;38,3;M4;
22/08/2023;20;corroded;1;5;36,4;36,4;M5;
22/08/2023;20;corroded;2;1;35,3;35,3;M1;
22/08/2023;20;corroded;2;2;37,9;37,9;M2;
22/08/2023;20;corroded;2;3;36,9;36,9;M3;
22/08/2023;20;corroded;2;4;36;36;M4;
22/08/2023;20;corroded;2;5;37,8;37,8;M5;
22/08/2023;20;corroded;3;1;38,4;38,4;M1;
22/08/2023;20;corroded;3;2;38,8;38,8;M2;
22/08/2023;20;corroded;3;3;38,2;38,2;M3;
22/08/2023;20;corroded;3;4;38,2;38,2;M4;
22/08/2023;20;corroded;3;5;37,1;37,1;M5;
22/08/2023;20;non corroded;1;1;40,3;40,3;M1;
22/08/2023;20;non corroded;1;2;39,8;39,8;M2;
22/08/2023;20;non corroded;1;3;39,2;39,2;M3;
22/08/2023;20;non corroded;1;4;37,4;37,4;M4;
22/08/2023;20;non corroded;1;5;38,6;38,6;M5;
22/08/2023;20;non corroded;2;1;38,5;38,5;M1;
22/08/2023;20;non corroded;2;2;38,9;38,9;M2;
22/08/2023;20;non corroded;2;3;41;41;M3;
22/08/2023;20;non corroded;2;4;38,6;38,6;M4;
22/08/2023;20;non corroded;2;5;38,5;38,5;M5;
22/08/2023;20;non corroded;3;1;40,6;40,6;M1;
22/08/2023;20;non corroded;3;2;39,4;39,4;M2;
22/08/2023;20;non corroded;3;3;39,3;39,3;M3;
22/08/2023;20;non corroded;3;4;39,6;39,6;M4;
22/08/2023;20;non corroded;3;5;39,8;39,8;M5;
22/08/2023;25;corroded;2;1;40,4;40,4;M1;blurry picture
22/08/2023;25;corroded;2;2;41,8;41,8;M2;blurry picture
22/08/2023;25;corroded;2;3;40,7;40,7;M3;blurry picture
22/08/2023;25;corroded;2;4;40,3;40,3;M4;blurry picture
22/08/2023;25;corroded;2;5;40,1;40,1;M5;blurry picture
22/08/2023;25;non corroded;1;1;40,9;40,9;M1;blurry picture
22/08/2023;25;non corroded;1;2;40,6;40,6;M2;blurry picture
22/08/2023;25;non corroded;1;3;40,7;40,7;M3;blurry picture
22/08/2023;25;non corroded;1;4;40,6;40,6;M4;blurry picture
22/08/2023;25;non corroded;1;5;40,7;40,7;M5;blurry picture
22/08/2023;25;non corroded;2;1;42,3;42,3;M1;blurry picture
22/08/2023;25;non corroded;2;2;44,4;44,4;M2;blurry picture
22/08/2023;25;non corroded;2;3;41;41;M3;blurry picture
22/08/2023;25;non corroded;2;4;41,8;41,8;M4;blurry picture
22/08/2023;25;non corroded;2;5;40,7;40,7;M5;blurry picture
22/08/2023;25;non corroded;3;1;45,1;45,1;M1;blurry picture
22/08/2023;25;non corroded;3;2;42,9;42,9;M2;blurry picture
22/08/2023;25;non corroded;3;3;44,1;44,1;M3;blurry picture
22/08/2023;25;non corroded;3;4;42,6;42,6;M4;blurry picture
22/08/2023;25;non corroded;3;5;43,7;43,7;M5;blurry picture
